ticker,trades,win_rate_hold0,avg_ret_hold0,cum_ret_hold0,win_rate_hold1,avg_ret_hold1,cum_ret_hold1,win_rate_hold3,avg_ret_hold3,cum_ret_hold3,win_rate_hold5,avg_ret_hold5,cum_ret_hold5,win_rate_hold10,avg_ret_hold10,cum_ret_hold10,win_rate_hold20,avg_ret_hold20,cum_ret_hold20
SPYI,45,0.4,-0.00198,-0.0864,0.4222,-0.00244,-0.1065,0.5778,-0.00019,-0.0126,0.5333,0.00062,0.0231,0.6444,0.00137,0.0516,0.6364,0.00336,0.1432
QQQI,29,0.4828,-0.00167,-0.0487,0.5517,-0.0012,-0.038,0.6207,0.0018,0.0477,0.5517,0.00243,0.0664,0.6897,0.0035,0.0905,0.5714,0.0057,0.1539
XYLD,156,0.5,-0.00074,-0.1126,0.5385,0.00039,0.053,0.5577,-0.00029,-0.0625,0.5962,0.00207,0.3558,0.6667,0.00217,0.3265,0.7097,0.00321,0.4572
QYLD,145,0.4897,-0.00091,-0.1262,0.5241,-0.00055,-0.0824,0.5655,-0.00076,-0.1198,0.6,0.00177,0.27,0.6966,0.00206,0.2738,0.6528,0.00143,0.1194
RYLD,85,0.4941,-0.0007,-0.0601,0.4824,-0.00073,-0.0654,0.5529,5e-05,-0.0094,0.6471,0.00276,0.242,0.6588,0.00252,0.1756,0.6071,1e-05,-0.132
DIVO,102,0.4706,-0.00119,-0.1176,0.5784,0.00168,0.1801,0.5392,0.00105,0.1032,0.549,0.00336,0.3879,0.6733,0.00707,0.9772,0.6832,0.00887,1.2707
GPIX,31,0.4516,-0.00142,-0.0438,0.4516,-0.00065,-0.0222,0.6774,-0.00234,-0.0773,0.6452,0.00213,0.0563,0.7333,0.00986,0.3303,0.7333,0.01203,0.409
GPIQ,31,0.4839,-0.00158,-0.049,0.5161,-0.00016,-0.0087,0.6129,-0.00202,-0.0718,0.6774,0.0041,0.1179,0.6667,0.01378,0.4874,0.7,0.01611,0.5724
JEPI,72,0.4167,-0.00017,-0.0132,0.5417,0.00109,0.0788,0.5417,0.0006,0.0352,0.6389,0.00256,0.1877,0.6901,0.00598,0.5058,0.6338,0.00467,0.3489
JEPQ,49,0.4082,-0.00132,-0.0646,0.4694,-0.00092,-0.0493,0.5714,-0.00173,-0.0949,0.6735,0.0025,0.1123,0.7083,0.00906,0.5167,0.6667,0.00908,0.4815
